"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-267","","Сенежская ул.","","55.860894","37.514236","","","0","","","0","",""
"100457-269","","Флотская ул.","","55.856915","37.508595","","","0","","","0","",""
"100457-270","","Поликлиника","","55.854461","37.501789","","","0","","","0","",""
"100457-271","","Смольная ул.","","55.851848","37.494627","","","0","","","0","",""
"100457-272","","Пулковская ул.","","55.845403","37.489793","","","0","","","0","",""
"100457-275","","Нарвская ул. - Университет Гражданской Авиации","","55.844591","37.503192","","","0","","","0","",""
"100457-282","","Нарвская улица - Университет гражданской авиации","","55.844725","37.50317","","","0","","","0","",""
"100457-283","","Проезд Черепановых","","55.83961","37.52662","","","0","","","0","",""
"100457-284","","Соболевский пр.","","55.838674","37.530111","","","0","","","0","",""
"100457-277","","Лихоборская набережная","","55.852666","37.516077","","","0","","","0","",""
"100457-280","","Лихоборская набережная","","55.852597","37.51513","","","0","","","0","",""
"100457-463","","Тушинская ул.","","55.824319","37.451646","","","0","","","0","",""
"100457-1002157","","Улица Пырьева, 9","","55.727305","37.525806","","","0","","","0","",""
"100457-287","","Тимирязевская академия","","55.833415","37.549938","","","0","","","0","",""
"100457-288","","Пасечная ул.","","55.8298","37.552765","","","0","","","0","",""
"100457-289","","Парк «Дубки»","","55.8183","37.5623","","","0","","","0","",""
"100457-290","","Центр медицинской реабилитации","","55.812458","37.557063","","","0","","","0","",""
"100457-291","","Проезд Соломенной Сторожки","","55.807292","37.5601","","","0","","","0","",""
"100457-292","","Дмитровский пр.","","55.807372","37.57133","","","0","","","0","",""
"100457-293","","Всероссийское общество слепых","","55.804741","37.567078","","","0","","","0","",""
"100457-294","","2-я Хуторская ул.","","55.802451","37.563632","","","0","","","0","",""
"100457-170","","Кинотеатр «Комсомолец»","","55.842218","37.570293","","","0","","","0","",""
"100457-171","","Нижн. Лихоборы","","55.846999","37.568488","","","0","","","0","",""
"100457-173","","Управа Бескудниковского района","","55.862855","37.561674","","","0","","","0","",""
"100457-174","","Бескудниковский пер.","","55.864907","37.560125","","","0","","","0","",""
"100457-281","","Университет спорта и туризма","","55.85132","37.510952","","","0","","","0","",""
"100457-276","","Университет спорта и туризма","","55.851747","37.512803","","","0","","","0","",""
"100457-175","","Рогачевский пер.","","55.869321","37.556648","","","0","","","0","",""
"100457-176","","Школа № 656","","55.872682","37.553925","","","0","","","0","",""
"100457-177","","Школа имени Чернышёва","","55.873789","37.550896","","","0","","","0","",""
"100457-459","","Университет «Росбиотех»","","55.808144","37.498117","","","0","","","0","",""
"100457-460","","Пехотная улица","","55.810687","37.482877","","","0","","","0","",""
"100457-462","","Канал имени Москвы","","55.819321","37.451064","","","0","","","0","",""
"100457-465","","Новопоселковая ул.","","55.837217","37.441913","","","0","","","0","",""
"100457-466","","Западный мост","","55.838029","37.438009","","","0","","","0","",""
"100457-467","","Нелидовская улица","","55.845946","37.439645","","","0","","","0","",""
"100457-468","","Планерная улица","","55.857712","37.432133","","","0","","","0","",""
"100457-333","","Селигерская улица","","55.869046","37.546709","","","0","","","0","",""
"100457-340","","Отделение связи № 434","","55.821565","37.573014","","","0","","","0","",""
"100457-341","","Ул. Всеволода Вишневского","","55.812668","37.577847","","","0","","","0","",""
"100457-337","","Нижн. Лихоборы","","55.847366","37.568353","","","0","","","0","",""
"100457-343","","Бутырская ул., 62","","55.801843","37.583015","","","0","","","0","",""
"100457-344","","Бутырская слобода","","55.800461","37.583336","","","0","","","0","",""
"100457-347","","2-й Лесной пер.","","55.782106","37.586584","","","0","","","0","",""
